City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Olinda,BR,2021-10-10 04:54:12,-8.0089,-34.8553,78.53,73,40,9.22
191,Mende,FR,2021-10-10 04:56:18,44.6667,3.5,32.77,97,10,3.6
192,Arica,CL,2021-10-10 04:55:56,-18.475,-70.3042,61.03,77,90,3.44
193,Lagoa,PT,2021-10-10 04:56:19,39.05,-27.9833,69.76,86,100,25.12
194,Marsabit,KE,2021-10-10 04:56:19,2.3284,37.9899,65.43,71,49,18.72
195,Nouakchott,MR,2021-10-10 04:56:20,18.0858,-15.9785,80.53,32,81,9.46
196,Boa Vista,BR,2021-10-10 04:54:25,2.8197,-60.6733,80.58,89,0,2.3
197,Ahipara,NZ,2021-10-10 04:53:49,-35.1667,173.1667,58.24,71,65,12.44
198,Pochutla,MX,2021-10-10 04:56:20,15.7432,-96.4661,75.81,88,100,3.74
199,Mingguang,CN,2021-10-10 04:56:20,32.7802,117.9638,65.57,89,100,17.96
200,Chegdomyn,RU,2021-10-10 04:56:21,51.1167,133.0167,43.9,98,100,4.56
201,Akonolinga,CM,2021-10-10 04:56:21,3.7667,12.25,69.35,99,100,2.04
202,Pocone,BR,2021-10-10 04:56:21,-16.2567,-56.6228,83.8,57,96,4.41
203,Booue,GA,2021-10-10 04:56:22,-0.0921,11.9385,72.59,99,100,2.26
204,Ostrovnoy,RU,2021-10-10 04:53:35,68.0531,39.5131,40.15,96,100,6.55
205,Cururupu,BR,2021-10-10 04:56:22,-1.8283,-44.8683,76.5,87,40,4.27
206,Yilan,TW,2021-10-10 04:55:11,24.757,121.753,91.06,70,49,8.12
207,San Juan Del Sur,NI,2021-10-10 04:56:22,11.2529,-85.8705,78.67,83,99,10.09
208,Kamenka,RU,2021-10-10 04:56:23,51.3223,42.7678,42.04,65,40,5.66
209,Pevek,RU,2021-10-10 04:53:28,69.7008,170.3133,25.56,94,100,4.52
210,Hami,CN,2021-10-10 04:53:03,42.8,93.45,52.05,20,0,1.36
211,Chuy,UY,2021-10-10 04:51:10,-33.6971,-53.4616,56.95,83,1,10.78
212,Garchitorena,PH,2021-10-10 04:56:23,13.8804,123.6946,84.27,75,93,11.65
213,Winnemucca,US,2021-10-10 04:54:58,40.973,-117.7357,41.05,75,1,4.61
214,Burgeo,CA,2021-10-10 04:56:24,47.6167,-57.6152,41.59,74,6,11.81
215,Port Lincoln,AU,2021-10-10 04:50:27,-34.7333,135.8667,56.73,54,85,16.06
216,Acajutla,SV,2021-10-10 04:53:42,13.5928,-89.8275,79.66,86,100,8.72
217,Touros,BR,2021-10-10 04:53:50,-5.1989,-35.4608,74.3,80,54,10.45
218,Adrar,MR,2021-10-10 04:52:32,20.5022,-10.0711,79.95,20,95,9.22
219,Olavarria,AR,2021-10-10 04:56:24,-36.8927,-60.3225,42.76,90,0,7.58
220,Lasa,IT,2021-10-10 04:53:49,46.6166,10.7002,45.48,60,1,6.13
221,Misratah,LY,2021-10-10 04:56:25,32.3754,15.0925,75.18,68,100,11.34
222,Mitsamiouli,KM,2021-10-10 04:56:25,-11.3847,43.2844,80.89,61,20,9.22
