City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Fort Wellington,GY,82.63,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
622,Ewa Beach,US,84.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
623,Meulaboh,ID,76.15,overcast clouds,4.1363,96.1285,Kost Pria
624,Carlagan,PH,80.98,overcast clouds,14.975,122.0456,Cabatagan Island
625,Cururupu,BR,79.83,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
628,Milton,US,83.37,few clouds,34.1322,-84.3007,Children's Cottage Montessori
629,Avera,US,83.08,clear sky,33.194,-82.5271,
631,Mufumbwe,ZM,75.0,clear sky,-13.6833,24.8,
632,Epe,NG,75.97,moderate rain,6.5841,3.9834,MAGVILLE HOTEL
635,Markapur,IN,79.11,overcast clouds,15.7333,79.2833,VIHARI GRAND INN
636,Samarinda,ID,75.52,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
641,San Felipe,VE,79.83,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
644,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
645,Ajdabiya,LY,80.74,clear sky,30.7554,20.2263,Almadina Hotel
648,Nizwa,OM,84.06,clear sky,22.9333,57.5333,Orient Apartments
650,Dunmore Town,BS,82.83,moderate rain,25.5,-76.65,Coral Sands Hotel
651,Florida,US,88.21,scattered clouds,28.7505,-82.5001,Sportsmens Cove
659,Yola,NG,80.01,overcast clouds,9.2,12.4833,Muna Hotel
663,Balabac,PH,81.18,heavy intensity rain,7.9868,117.0645,Sing and Swing Lodge
666,Edd,ER,89.13,overcast clouds,13.9297,41.6925,
670,Hobyo,SO,78.58,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
671,Lingao,CN,77.79,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
676,Dickinson,US,89.2,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
677,Pemangkat,ID,80.82,overcast clouds,1.1667,108.9667,Ramah Kost KITA
678,Muli,MV,82.78,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
681,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
687,Safaga,EG,84.15,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
688,Solenzo,BF,85.3,overcast clouds,12.1833,-4.0833,
689,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
690,Maracacume,BR,81.63,overcast clouds,-2.0428,-45.9592,Hotel Ramos
691,Jiaojiang,CN,75.99,few clouds,28.6803,121.4428,Jiaojiang Hotel
693,Hit,IQ,79.41,clear sky,33.6416,42.8251,صالون زيرو
696,Rengasdengklok,ID,80.13,overcast clouds,-6.1592,107.2981,Kost Citra Kirana Rengasdengklok
698,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
702,Libreville,GA,78.82,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
703,Lubao,PH,81.14,overcast clouds,14.9167,120.55,Hacienda Gracia
705,Limbang,MY,80.91,overcast clouds,4.75,115.0,Purnama Hotel
707,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
708,Port Blair,IN,80.73,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
710,Lang Suan,TH,78.48,heavy intensity rain,9.9456,99.0785,Langsuan Resort
