City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Boshnyakovo,RU,49.6333,142.1667,44.01,89,100,25.3,overcast clouds
168,Touros,BR,-5.1989,-35.4608,83.3,76,26,12.86,scattered clouds
169,Grand Gaube,MU,-20.0064,57.6608,72.0,91,98,5.99,light rain
170,Atuona,PF,-9.8,-139.0333,78.46,75,47,19.48,scattered clouds
171,Porbandar,IN,21.6422,69.6093,82.99,75,11,3.24,few clouds
172,Baiyin,CN,36.5583,104.2081,38.28,64,33,2.3,scattered clouds
173,Hithadhoo,MV,-0.6,73.0833,82.67,68,98,13.24,overcast clouds
174,Riyadh,SA,24.6877,46.7219,82.54,16,0,6.6,clear sky
175,Zhangye,CN,38.9342,100.4517,47.23,35,0,3.51,clear sky
176,Isangel,VU,-19.55,169.2667,75.31,73,4,9.22,clear sky
177,Brigantine,US,39.4101,-74.3646,70.05,83,90,16.11,overcast clouds
178,Nelson Bay,AU,-32.7167,152.15,59.76,98,100,1.99,light rain
179,Feijo,BR,-8.1642,-70.3536,92.35,46,90,3.18,overcast clouds
180,Zhaozhou,CN,45.6833,125.3167,40.17,61,0,8.21,clear sky
181,Ambilobe,MG,-13.2,49.05,71.06,68,50,3.31,scattered clouds
182,Constitucion,CL,-35.3333,-72.4167,60.98,60,0,14.79,clear sky
183,Miri,MY,4.4148,114.0089,78.94,100,40,2.3,scattered clouds
184,Sur,OM,22.5667,59.5289,82.71,56,0,7.63,clear sky
185,Grindavik,IS,63.8424,-22.4338,40.95,100,75,2.3,broken clouds
186,Hermanus,ZA,-34.4187,19.2345,64.9,67,98,7.85,overcast clouds
187,Tiksi,RU,71.6872,128.8694,29.01,98,100,6.44,light snow
188,Komsomolskiy,UZ,40.4272,71.7189,45.32,81,24,6.91,few clouds
189,Cherskiy,RU,68.75,161.3,0.46,98,87,5.55,overcast clouds
190,Valday,RU,57.9747,33.2525,40.8,75,12,7.16,few clouds
191,Santacruz,CO,1.5209,-77.2621,67.32,78,99,6.51,moderate rain
192,Anshun,CN,26.25,105.9333,56.48,94,100,9.08,overcast clouds
193,Kiruna,SE,67.8557,20.2251,43.72,93,90,3.44,overcast clouds
194,Kita,ML,13.0349,-9.4895,76.98,73,100,4.16,overcast clouds
195,Watertown,US,42.3709,-71.1828,63.72,80,90,4.0,overcast clouds
196,Mozhaysk,RU,55.5019,36.0272,37.51,77,17,4.63,few clouds
197,Traverse City,US,44.7631,-85.6206,75.27,75,90,11.5,overcast clouds
198,Banda Aceh,ID,5.5577,95.3222,79.16,81,33,15.26,scattered clouds
199,Kyra,RU,49.5776,111.9753,32.2,71,6,2.35,clear sky
200,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.6,74,26,8.57,scattered clouds
201,Ust-Barguzin,RU,53.45,108.9833,36.05,78,1,4.47,clear sky
202,Wittmund,DE,53.5667,7.7833,54.03,94,75,3.44,broken clouds
203,Luan,CH,46.3592,6.9759,41.56,87,0,4.14,clear sky
204,Georgetown,MY,5.4112,100.3354,79.9,88,20,0.0,few clouds
205,Pisco,PE,-13.7,-76.2167,68.05,68,0,6.91,clear sky
206,Olafsvik,IS,64.8945,-23.7142,40.15,60,24,0.83,few clouds
207,Carnarvon,AU,-24.8667,113.6333,62.67,82,0,14.97,clear sky
208,Ribeira Grande,PT,38.5167,-28.7,73.8,88,40,16.11,scattered clouds
209,Shimoda,JP,34.6667,138.95,68.11,81,10,7.05,clear sky
210,Cap Malheureux,MU,-19.9842,57.6142,72.09,91,98,5.99,light rain
211,Port Macquarie,AU,-31.4333,152.9167,62.89,100,90,1.14,light rain
212,Ahipara,NZ,-35.1667,173.1667,58.87,64,84,6.89,broken clouds
213,Qarqin,AF,37.4185,66.0436,49.12,33,0,1.86,clear sky
214,Kloulklubed,PW,7.0419,134.2556,73.9,74,94,12.24,overcast clouds
215,Honiara,SB,-9.4333,159.95,81.84,79,96,1.59,overcast clouds
216,Mathbaria,BD,22.2876,89.9593,78.48,86,69,5.1,broken clouds
217,Innisfail,AU,-17.5333,146.0333,67.89,84,0,3.58,clear sky
218,Ilebo,CD,-4.3167,20.5833,72.54,96,100,2.75,light rain
219,Port-Cartier,CA,50.0334,-66.8654,53.82,83,62,1.7,broken clouds
220,Margate,GB,51.3813,1.3862,56.95,78,92,1.99,overcast clouds
221,Omboue,GA,-1.5746,9.2618,77.56,83,100,4.76,overcast clouds
222,Morant Bay,JM,17.8815,-76.4093,87.42,65,26,6.67,scattered clouds
223,Karpogory,RU,64.0019,44.4451,49.37,92,100,11.7,light rain
224,Belaya Gora,RU,68.5333,146.4167,19.27,74,100,3.67,overcast clouds
225,Old Saybrook,US,41.2918,-72.3762,65.03,92,90,5.75,overcast clouds
226,Nouadhibou,MR,20.931,-17.0347,69.78,83,0,16.11,clear sky
227,Marovoay,MG,-16.1,46.6333,73.54,65,0,5.44,clear sky
228,Bac Lieu,VN,9.285,105.7244,79.3,86,100,11.74,overcast clouds
229,Kamaishi,JP,39.2667,141.8833,66.18,94,76,11.25,broken clouds
230,Lompoc,US,34.6391,-120.4579,85.21,54,1,13.8,clear sky
231,Minab,IR,27.1467,57.0801,83.7,20,0,12.44,clear sky
232,Mechetinskaya,RU,46.7713,40.456,52.99,42,7,3.8,clear sky
233,Lincoln,US,40.8,-96.667,68.07,56,1,1.99,clear sky
234,Weligama,LK,5.9667,80.4167,78.55,87,80,12.73,broken clouds
235,Xucheng,CN,20.35,110.1288,75.9,88,100,10.31,light rain
236,Kedrovyy,RU,56.1667,91.8167,36.01,99,100,2.68,light rain
237,Jamame,SO,0.0722,42.7506,77.31,88,6,12.39,clear sky
238,Bambanglipuro,ID,-7.95,110.2833,76.35,84,90,5.97,overcast clouds
239,Bambous Virieux,MU,-20.3428,57.7575,71.85,94,75,6.91,light rain
240,Mutis,CO,6.2262,-77.4044,80.64,82,100,11.97,light rain
241,Buzmeyin,TM,38.0507,58.2056,46.13,39,22,2.3,few clouds
242,San Cristobal,VE,7.7669,-72.225,80.78,84,81,1.3,broken clouds
243,Sechura,PE,-5.5569,-80.8222,76.17,62,29,16.46,scattered clouds
244,Chilca,PE,-12.5211,-76.7372,64.85,85,78,7.47,broken clouds
245,Languyan,PH,5.2618,120.0807,80.01,84,99,5.19,heavy intensity rain
246,Binzhou,CN,37.3667,118.0167,49.06,64,21,7.83,light rain
247,Camacha,PT,33.0833,-16.3333,69.53,73,20,11.5,few clouds
248,Rosita,NI,13.9268,-84.4032,86.67,63,48,5.1,scattered clouds
249,Furstenwalde,DE,52.3667,14.0667,51.39,62,85,5.95,overcast clouds
250,Hailar,CN,49.2,119.7,36.19,76,0,9.46,clear sky
251,Mehriz,IR,31.5917,54.4318,57.7,32,0,2.55,clear sky
252,Sajanan,TN,37.0573,9.2426,67.12,67,0,3.8,clear sky
253,Sirtich,RU,41.8321,48.228,54.93,80,77,2.75,broken clouds
254,Pilibanga,IN,29.4916,74.079,84.63,29,0,8.25,clear sky
255,Karratha,AU,-20.7377,116.8463,72.73,36,8,5.57,clear sky
256,Broken Hill,AU,-31.95,141.4333,42.51,81,46,10.36,scattered clouds
257,Okahandja,NA,-21.9833,16.9167,77.83,9,3,17.07,clear sky
258,Siavonga,ZM,-16.5382,28.7088,88.09,33,63,8.9,broken clouds
259,Porto Velho,BR,-8.7619,-63.9039,95.05,43,20,5.75,few clouds
260,Haimen,CN,23.1935,116.6142,76.89,77,79,7.02,broken clouds
261,Husavik,IS,66.0449,-17.3389,35.51,97,100,1.32,overcast clouds
262,Manggar,ID,-2.8833,108.2667,80.92,83,100,7.11,moderate rain
263,Raudeberg,NO,61.9875,5.1352,48.2,95,100,3.0,overcast clouds
264,Peterhead,GB,57.5058,-1.7981,52.72,79,35,19.57,scattered clouds
265,Plerin,FR,48.5425,-2.7798,60.44,88,90,5.99,overcast clouds
266,Kayerkan,RU,69.3497,87.7602,21.11,95,100,5.35,overcast clouds
267,Ripoll,ES,42.2006,2.1903,56.26,88,25,3.58,scattered clouds
268,Malartic,CA,48.1335,-78.1328,62.42,98,100,8.25,overcast clouds
269,Aranos,NA,-24.1333,19.1167,65.16,15,0,9.44,clear sky
270,Quelimane,MZ,-17.8786,36.8883,76.95,83,40,11.5,light rain
271,Flagstaff,US,35.1981,-111.6513,64.56,31,1,5.01,clear sky
272,Laela,TZ,-8.5667,32.05,69.96,31,85,4.21,overcast clouds
273,Wuchang,CN,44.9143,127.15,39.83,70,0,6.89,clear sky
274,Ravar,IR,31.2656,56.8055,58.06,28,0,1.07,clear sky
275,Henties Bay,NA,-22.116,14.2845,60.85,67,0,4.43,clear sky
276,Dunedin,NZ,-45.8742,170.5036,53.92,68,100,2.98,light rain
277,Kostinbrod,BG,42.8167,23.2167,50.07,96,100,7.43,overcast clouds
278,Dingle,PH,10.9995,122.6711,76.73,92,93,9.51,moderate rain
279,Bethel,US,41.3712,-73.414,64.49,89,90,1.99,overcast clouds
280,Oktyabrskoye,RU,43.0645,44.7417,42.94,93,37,2.24,scattered clouds
281,Xiongzhou,CN,25.1167,114.3,72.9,82,94,7.27,overcast clouds
282,Krasnoyarsk,RU,56.0097,92.7917,37.8,97,100,3.02,light rain
283,Port Hawkesbury,CA,45.6169,-61.3485,59.92,67,1,3.0,clear sky
284,Sitka,US,57.0531,-135.33,48.09,76,20,5.75,light rain
285,Sangueya,GN,10.7,-14.3667,77.58,90,98,3.04,overcast clouds
286,Victoria,HK,22.2855,114.1577,81.32,87,100,5.99,overcast clouds
287,Brae,GB,60.3964,-1.353,49.91,80,32,25.5,scattered clouds
288,Mpika,ZM,-11.8343,31.4529,68.05,38,45,4.85,scattered clouds
289,Lebanon,US,36.2081,-86.2911,86.13,57,1,8.05,clear sky
